id,merchant_id,name,description,category,price,stock_quantity,created_at,updated_at
1,36,Down-sized human-resource approach,"Allow money report. Eye enough today source.
The thing money sign certainly.
Such table style suddenly police catch. Sit how research table together.",Books,147.7,163,2025-06-23 11:05:29,2025-11-28 08:07:39.368875
2,16,Seamless eco-centric contingency,Style kind town parent voice. Admit laugh green baby.,Electronics,325.42,41,2025-05-28 23:29:39,2025-11-28 08:07:39.369873
3,53,Le pouvoir de changer naturellement,"Expresión industria ciento educación. Llama amor don vez.
Nombre televisión guerra dado modo. Región américa papel cuales viaje características.",Books,317.36,600,2025-07-23 22:57:52,2025-11-28 08:07:39.369873
4,14,Cross-group next generation neural-net,State to would news particularly sell. Base push really star before type. Early reflect source product.,Toys,182.27,50,2025-07-30 19:24:08,2025-11-28 08:07:39.369873
5,41,Stand-alone well-modulated task-force,Sache Apfel ob unten weit kurz fragen. Nur leicht Wasser wollen da braun. Klein Sonntag Eis.,Electronics,423.7,656,2025-07-20 03:39:19,2025-11-28 08:07:39.370874
6,81,User-friendly discrete product,"Courant président charger.
Être briser tant soit. Satisfaire quant à fruit rouler pourtant. Habitude compagnie de.",Books,419.08,329,2025-01-11 20:37:43,2025-11-28 08:07:39.370874
7,83,Organized modular ability,Dabei Boden dürfen rot glauben. Wenn damit fast bis Sonne wie überall. Fahrrad aber Zeitung.,Sports,441.77,662,2025-03-17 22:49:43,2025-11-28 08:07:39.370874
8,61,Configurable secondary initiative,Zum heraus fallen aus Klasse Lehrerin Arzt. Den kein Junge Papa zu Vogel fangen. Kurz rennen See weiß.,Toys,174.15,769,2024-12-25 02:35:56,2025-11-28 08:07:39.370874
9,25,Front-line tangible matrices,Retenir roi appartenir fatigue. Honte naissance tout nerveux attaquer cher. Où santé particulier sens plusieurs.,Home,429.13,806,2025-07-19 07:56:41,2025-11-28 08:07:39.370874
10,61,Public-key contextually-based infrastructure,Conseil mêler selon ruine souvenir paraître. Bien mais acheter discussion gauche preuve.,Sports,296.99,505,2025-07-02 21:18:05,2025-11-28 08:07:39.371871
11,40,Exclusive uniform workforce,This treat quite business box per. Guy common either about production growth. Late their those close popular top. Door picture practice.,Sports,204.07,218,2025-06-20 04:43:43,2025-11-28 08:07:39.371871
12,38,Polarized mission-critical service-desk,Auteur expliquer importer défendre ramener calme essayer. Feuille ressembler toujours.,Sports,366.85,258,2025-07-08 02:55:04,2025-11-28 08:07:39.371871
13,94,Le plaisir d'atteindre vos buts en toute tranquilité,"Contrario diversas fútbol muchas. Tanto pública atención ahora a cuales a.
Energía marco proyecto prensa arriba veces tengo. Entrada ley políticos.",Fashion,79.51,673,2025-10-13 03:10:21,2025-11-28 08:07:39.372871
14,72,Total zero tolerance toolset,"Endroit fier appartement ordre.
Neuf leur bande étroit danser. Coûter sur siècle passé. Éclat tête court précis garde aussitôt.",Books,149.23,966,2025-08-01 13:52:33,2025-11-28 08:07:39.372871
15,87,Decentralized impactful encoding,"Éviter ça étude oreille rapport rassurer amour.
Horizon perte remonter commencement parfaitement. Objet prier conseil baisser suite.",Toys,116.58,538,2025-11-25 02:44:46,2025-11-28 08:07:39.372871
16,92,Sharable multi-state conglomeration,Mother little third author art bed open. Each standard air body property.,Beauty,249.01,686,2025-02-19 03:29:23,2025-11-28 08:07:39.373874
17,41,Compatible user-facing moderator,Vom Himmel Jahr Ding reiten natürlich Weihnachten. Vor erschrecken wie fallen zurück.,Home,341.0,269,2025-02-21 18:15:13,2025-11-28 08:07:39.373874
18,32,Focused incremental leverage,Natural primero europea yo piel. Aunque miguel llama mercado familia familia respecto tratamiento. Comunicación historia mañana lejos va cabo ayer.,Sports,262.97,971,2024-12-20 15:25:04,2025-11-28 08:07:39.373874
19,15,Cross-group encompassing concept,"Tragen Zeitung Luft. Nimmt anfangen kein Wissen.
Minute Papa ins. Krank voll sieben. Sieben versuchen ihn schlecht die Hund Licht einfach.",Electronics,356.82,901,2025-05-17 08:09:34,2025-11-28 08:07:39.373874
20,33,L'avantage d'évoluer à sa source,Buena boca otro sus realizar. Santa sol especie buena niños ciudad. En capacidad luz económica ningún. Tipo mayores buena quienes.,Beauty,334.23,112,2025-05-30 07:08:56,2025-11-28 08:07:39.373874
21,19,Switchable global functionalities,Ende tun Boden sagen Kind Finger. Langsam nur bekommen arbeiten.,Sports,32.69,697,2024-12-17 02:42:59,2025-11-28 08:07:39.374872
22,48,Intuitive coherent help-desk,Toit bleu rare ce roi très. Pointe d'autres demande calme découvrir depuis.,Home,115.39,300,2025-07-21 08:12:46,2025-11-28 08:07:39.374872
23,41,Devolved high-level benchmark,Beißen los Affe durch. Machen später ihr wirklich. Glück kam Herr Geld stellen er. Beim sein groß Wissen Hand hoch.,Sports,18.5,394,2024-12-03 18:53:27,2025-11-28 08:07:39.374872
24,90,Self-enabling holistic protocol,Cell sound budget partner gun. Truth card traditional dinner. Movement thousand effect live.,Beauty,66.05,108,2025-05-07 19:39:05,2025-11-28 08:07:39.374872
25,79,Le droit d'évoluer en toute tranquilité,Long bord plaindre respirer pourquoi but. Ton émotion bataille milieu haine appeler. Personne charge crier début effort livrer souhaiter.,Electronics,161.69,687,2025-08-02 10:46:14,2025-11-28 08:07:39.375870
26,37,Future-proofed regional array,Jefe diario forma consumo francia minutos. Civil arriba hace septiembre.,Fashion,344.47,149,2024-11-29 23:46:26,2025-11-28 08:07:39.375870
